MaxDiff, Percentage
0.1, 65.34%
0.101, 64.88%
0.10200000000000001, 64.88%
0.10300000000000001, 65.15%
0.10400000000000001, 65.42%
0.10500000000000001, 65.76%
0.10600000000000001, 66.16%
0.10700000000000001, 66.4%
0.10800000000000001, 66.74%
0.109, 66.47%
0.11, 66.47%
0.111, 66.47%
0.112, 66.92%
0.113, 67.07%
0.114, 67.07%
0.115, 67.22%
0.116, 67.36%
0.117, 67.36%
0.11800000000000001, 67.36%
0.11900000000000001, 67.36%
0.12000000000000001, 67.36%
0.12100000000000001, 67.41%
0.122, 67.41%
0.123, 67.41%
0.124, 67.57%
0.125, 67.63%
0.126, 67.63%
0.127, 67.96%
0.128, 68.01%
0.129, 68.01%
0.13, 68.02%
0.131, 68.08%
0.132, 68.08%
0.133, 68.39%
0.134, 68.62%
0.135, 68.72%
0.136, 68.66%
0.137, 68.66%
0.138, 68.73%
0.139, 69.42%
0.14, 69.48%
0.14100000000000001, 69.82%
0.14200000000000002, 69.99%
0.14300000000000002, 69.99%
0.14400000000000002, 69.99%
0.14500000000000002, 70.48%
0.14600000000000002, 70.48%
0.14700000000000002, 70.82%
0.14800000000000002, 70.88%
0.14900000000000002, 70.83%
0.15000000000000002, 70.83%
0.151, 71.39%
0.152, 71.44%
0.153, 71.44%
0.154, 71.55%
0.155, 72.54%
0.156, 72.54%
0.157, 72.64%
0.158, 72.64%
0.159, 72.94%
0.16, 73.04%
0.161, 73.04%
0.162, 73.2%
0.163, 73.29%
0.164, 73.36%
0.165, 73.36%
0.166, 73.73%
0.167, 73.73%
0.168, 73.79%
0.169, 73.79%
0.17, 73.95%
0.17099999999999999, 73.95%
0.172, 73.95%
0.173, 73.94%
0.174, 73.94%
0.175, 74.1%
0.176, 74.1%
0.177, 74.39%
0.178, 74.75%
0.179, 75.82%
0.18, 75.82%
0.181, 75.82%
0.182, 75.82%
0.183, 75.82%
0.184, 75.94%
0.185, 76.45%
0.186, 76.51%
0.187, 76.51%
0.188, 76.42%
0.189, 76.42%
0.19, 76.58%
0.191, 76.68%
0.192, 77.29%
0.193, 77.11%
0.194, 77.76%
0.195, 77.96%
0.196, 78.11%
0.197, 78.11%
0.198, 78.17%
0.199, 78.41%
0.2, 78.16%
0.201, 78.45%
0.202, 78.62%
0.203, 78.76%
0.20400000000000001, 79.07%
0.20500000000000002, 79.07%
0.20600000000000002, 79.21%
0.20700000000000002, 79.31%
0.20800000000000002, 79.5%
0.20900000000000002, 79.5%
0.21000000000000002, 79.5%
0.21100000000000002, 80.41%
0.21200000000000002, 80.62%
0.21300000000000002, 80.72%
0.21400000000000002, 80.72%
0.21500000000000002, 80.72%
0.21600000000000003, 80.92%
0.21700000000000003, 80.92%
0.218, 81.06%
0.219, 81.22%
0.22, 81.22%
0.221, 81.31%
0.222, 81.27%
0.223, 81.3%
0.224, 81.3%
0.225, 81.56%
0.226, 81.56%
0.227, 82.24%
0.228, 82.24%
0.229, 82.24%
0.23, 82.24%
0.231, 82.24%
0.232, 82.24%
0.233, 82.4%
0.234, 82.9%
0.23500000000000001, 83.04%
0.23600000000000002, 83.24%
0.23700000000000002, 82.78%
0.23800000000000002, 82.8%
0.23900000000000002, 82.8%
0.24000000000000002, 82.8%
0.241, 82.8%
0.242, 83.11%
0.243, 83.11%
0.244, 83.11%
0.245, 83.26%
0.246, 83.26%
0.247, 83.26%
0.248, 83.26%
0.249, 83.01%
0.25, 82.96%
0.251, 82.79%
0.252, 82.79%
0.253, 82.79%
0.254, 83.24%
0.255, 83.24%
0.256, 83.24%
0.257, 83.24%
0.258, 83.41%
0.259, 83.41%
0.26, 83.41%
0.261, 83.41%
0.262, 83.25%
0.263, 83.25%
0.264, 83.75%
0.265, 83.75%
0.266, 83.53%
0.267, 83.53%
0.268, 83.53%
0.269, 83.53%
0.27, 83.53%
0.271, 83.53%
0.272, 83.68%
0.273, 83.51%
0.274, 83.46%
0.275, 83.46%
0.276, 83.33%
0.277, 83.33%
0.278, 83.16%
0.279, 83.16%
0.28, 83.16%
0.281, 83.26%
0.28200000000000003, 83.42%
0.28300000000000003, 83.42%
0.28400000000000003, 83.49%
0.28500000000000003, 83.76%
0.28600000000000003, 83.87%
0.28700000000000003, 83.9%
0.28800000000000003, 83.9%
0.28900000000000003, 83.9%
0.29000000000000004, 83.9%
0.29100000000000004, 83.9%
0.29200000000000004, 83.49%
0.29300000000000004, 83.49%
0.29400000000000004, 83.49%
0.29500000000000004, 83.49%
0.29600000000000004, 83.49%
0.29700000000000004, 83.49%
0.29800000000000004, 83.49%
0.29900000000000004, 83.81%
0.30000000000000004, 83.96%
0.30100000000000005, 83.96%
0.30200000000000005, 83.96%
0.30300000000000005, 83.96%
0.304, 84.27%
0.305, 84.27%
0.306, 84.27%
0.307, 84.27%
0.308, 84.37%
0.309, 84.37%
0.31, 84.37%
0.311, 84.37%
0.312, 84.37%
0.313, 84.37%
0.314, 84.37%
0.315, 84.21%
0.316, 84.21%
0.317, 84.1%
0.318, 84.1%
0.319, 83.93%
0.32, 84.67%
0.321, 84.67%
0.322, 84.82%
0.323, 84.65%
0.324, 84.49%
0.325, 84.49%
0.326, 84.44%
0.327, 83.93%
0.328, 83.76%
0.329, 83.29%
0.33, 83.29%
0.331, 83.45%
0.332, 83.45%
0.333, 83.76%
0.334, 83.6%
0.33499999999999996, 83.6%
0.33599999999999997, 83.55%
0.33699999999999997, 83.45%
0.33799999999999997, 83.45%
0.33899999999999997, 83.45%
0.33999999999999997, 83.45%
0.34099999999999997, 83.25%
0.34199999999999997, 83.25%
0.34299999999999997, 83.08%
0.344, 83.08%
